EPF_Number__t2o,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age Category,Age Joined,Age(Median),Is Terminated
224,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,162,66,Passed,80,25000,No,NoJob,2,22,22,No
225,Female,No,ComingFromRelativesPlace,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,High,NoChildren,FALSE,JobIssue,152,60,Passed,65,25000,No,NoJob,2,20,22,No
226,Female,No,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Moderate,Unmarried,FALSE,Other,153,62,Passed,65,25000,No,NoJob,2,22,22,No
227,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,High,Unmarried,FALSE,JobIssue,152,59,Passed,70,25000,No,NoJob,2,20,22,No
228,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Average,High,Unmarried,FALSE,NoJob,162,56,Passed,90,17500,No,NoJob,4,30,32,No
229,Female,No,ComingFromRelativesPlace,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Moderate,Unmarried,FALSE,JobIssue,153,62,Passed,72,25000,No,NoJob,5,38,38,No
230,Female,Yes,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NonApparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CloseProximityToHome,SamePlant,Good,High,ChildrenLessThan5Yrs,FALSE,PersonalIssue,154,58,Passed,70,25000,Yes,NoJob,2,20,22,No
231,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Moderate,NoChildren,FALSE,NoJob,156,42,Passed,80,25000,No,NoJob,2,23,22,No
232,Female,No,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,168,46,Passed,70,25000,No,NoJob,1,19,19,No
233,Female,No,Boarded,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Moderate,Unmarried,TRUE,JobIssue,155,50,Passed,100,25000,No,15000to30000,2,24,22,No
234,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Support,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,166,59,Passed,0,28000,Yes,15000to30000,4,30,32,No
235,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,FALSE,PersonalIssue,168,65,Passed,85,30000,No,30000to50000,5,35,38,No
236,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,180,66,Passed,70,25000,No,NoJob,1,18,19,No
237,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,42,Passed,80,25000,No,NoJob,2,21,22,No
238,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,TRUE,NoJob,162,55,Passed,85,28000,No,NoJob,5,39,38,No
239,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,168,60,Passed,65,28000,No,15000to30000,5,39,38,No
240,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,Moderate,ChildrenLessThan5Yrs,TRUE,Other,162,55,Passed,80,25000,No,15000to30000,5,40,38,No
241,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Average,Low,Unmarried,FALSE,NoJob,165,55,Passed,50,25000,No,NoJob,1,19,19,No
242,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Other,ShortTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,165,69,Passed,80,25000,No,NoJob,2,21,22,No
243,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,SamePlant,Good,Moderate,ChildrenLessThan5Yrs,TRUE,Other,165,69,Passed,0,30000,No,15000to30000,3,29,27,No
244,Female,Yes,ComingFromHome,Unmarried,PassedAL,Pasinduni,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,165,69,Passed,90,25000,No,NoJob,2,22,22,No
245,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Low,Unmarried,FALSE,NoJob,156,45,Passed,85,25000,No,NoJob,2,23,22,No
246,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,D,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,52,Passed,80,19000,No,NoJob,2,21,22,No
247,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NotMAS,Good,High,NoChildren,FALSE,JobIssue,162,65,Passed,50,19000,No,15000to30000,4,31,32,No
248,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,162,59,Passed,80,19000,No,NoJob,2,20,22,No
249,Female,No,Boarded,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,Moderate,Unmarried,FALSE,Other,162,58,Passed,50,19000,Expect,0to15000,3,25,27,No
250,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,Moderate,ChildrenLessThan5Yrs,FALSE,PersonalIssue,153,68,Passed,80,25000,No,NoJob,3,25,27,No
251,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Low,Unmarried,FALSE,NoJob,162,45,Passed,50,19000,No,NoJob,4,31,32,No
252,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,High,ChildrenLessThan5Yrs,FALSE,NoJob,162,56,Passed,65,19000,No,NoJob,2,22,22,No
253,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,Moderate,Unmarried,FALSE,JobIssue,156,60,Passed,60,19000,No,0to15000,5,39,38,No
254,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMSA,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,176,62,Passed,0,25000,No,15000to30000,1,19,19,No
255,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Low,Unmarried,TRUE,JobIssue,155,50,Passed,75,30000,No,30000to50000,2,22,22,No
256,Female,No,Boarded,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,NoChildren,FALSE,JobIssue,158,42,Passed,70,28000,No,0to15000,2,21,22,No
257,Female,Yes,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,FALSE,Other,160,50,Passed,0,30000,No,15000to30000,2,24,22,No
258,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CloseProximityToHome,MASPlant,Good,Moderate,ChildrenLessThan5Yrs,FALSE,PersonalIssue,162,58,Passed,0,19000,No,15000to30000,3,28,27,No
259,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CloseProximityToHome,NoJob,Good,Low,Unmarried,FALSE,NoJob,162,58,Passed,80,19000,No,NoJob,3,25,27,No
260,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Low,Unmarried,FALSE,NoJob,162,59,Passed,80,19000,No,NoJob,2,23,22,No
261,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,164,68,Passed,80,30000,No,15000to30000,5,38,38,No
262,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,D,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,85,Passed,75,19000,No,NoJob,3,26,27,No
263,Female,No,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,49,Passed,90,30000,No,NoJob,2,22,22,No
264,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,163,68,Passed,70,25000,No,NoJob,2,21,22,No
265,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,FALSE,NoJob,163,59,Passed,100,19000,No,NoJob,2,21,22,No
266,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,165,59,Passed,80,25000,No,NoJob,2,21,22,No
267,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Average,High,Unmarried,FALSE,NoJob,165,63,Passed,65,25000,No,NoJob,4,34,32,No
268,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,FALSE,NoJob,165,65,Passed,80,19000,No,NoJob,2,21,22,No
269,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Average,Low,NoChildren,FALSE,NoJob,149,40,Passed,80,28000,No,NoJob,1,19,19,No
270,Female,No,Boarded,Married,PassedAL,Lahiru,TRUE,FALSE,NonApparel,NoExperience,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,High,NoChildren,FALSE,Other,159,50,Passed,90,25000,Yes,NoJob,3,27,27,No
271,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,High,NoChildren,TRUE,NoJob,160,51,Passed,80,30000,No,NoJob,2,23,22,No
272,Female,No,Boarded,Unmarried,PassedAL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,152,40,Passed,85,28000,No,NoJob,2,23,22,No
273,Female,No,ComingFromRelativesPlace,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,High,NoChildren,FALSE,JobIssue,158,62,Passed,70,25000,No,NoJob,2,20,22,No
274,Female,No,ComingFromRelativesPlace,Unmarried,PassedOL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,Moderate,Unmarried,FALSE,Other,152,58,Passed,70,25000,No,NoJob,2,24,22,No
275,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Low,Unmarried,FALSE,NoJob,179,69,Passed,65,28000,No,NoJob,2,23,22,No
276,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,Moderate,ChildrenGreaterThan5Yrs,FALSE,PersonalIssue,152,58,Passed,70,25000,No,NoJob,5,36,38,No
277,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,SamePlant,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,164,56,Passed,0,16000,No,15000to30000,4,31,32,No
278,Female,Yes,ComingFromHome,Married,UptoOL,Pasinduni,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,160,52,Passed,80,25000,No,NoJob,2,21,22,No
279,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,TRUE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,No,C,TMMO,CloseProximityToHome,NotMAS,Good,Moderate,Unmarried,TRUE,Other,157,50,Passed,80,25000,No,NoJob,1,19,19,No
280,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,TRUE,TRUE,Apparel,NoExperience,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Good,Moderate,NoChildren,TRUE,Other,159,50,Passed,86,25000,No,NoJob,3,26,27,No
281,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Other,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Low,NoChildren,TRUE,JobIssue,152,42,Passed,85,280000,No,15000to30000,2,21,22,No
282,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,154,42,Passed,75,28000,No,NoJob,1,19,19,No
283,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,162,49,Passed,85,30000,No,NoJob,3,29,27,No
284,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,PersonalIssue,156,51,Passed,95,30000,No,15000to30000,4,31,32,No
285,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CloseProximityToHome,NotMAS,Good,High,Unmarried,FALSE,JobIssue,153,58,Passed,75,25000,No,NoJob,5,38,38,No
286,Female,No,Boarded,Unmarried,PassedOL,Gihan,TRUE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Good,High,Unmarried,TRUE,JobIssue,157,50,Passed,75,25000,No,NoJob,2,20,22,No
287,Female,No,ComingFromRelativesPlace,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,153,58,Passed,70,25000,No,NoJob,2,24,22,No
288,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CloseProximityToHome,NotMAS,Good,High,Unmarried,FALSE,NoJob,156,59,Passed,78,25000,No,15000to30000,3,29,27,No
289,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,160,48,Passed,100,30000,Yes,NoJob,2,24,22,No
290,Female,No,Boarded,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,High,Unmarried,FALSE,NoJob,154,60,Passed,80,25000,No,NoJob,2,24,22,No
291,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,153,59,Passed,75,25000,No,NoJob,2,20,22,No
292,Female,Yes,ComingFromHome,Unmarried,PassedAL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,153,56,Passed,70,25000,No,NoJob,2,21,22,No
293,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,High,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,157,45,Passed,85,28000,No,15000to30000,5,37,38,No
294,Female,No,ComingFromHome,Married,PassedAL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,ChildrenLessThan5Yrs,TRUE,Other,163,45,Passed,0,30000,No,15000to30000,4,31,32,No
295,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Average,Low,ChildrenLessThan5Yrs,FALSE,NoJob,156,41,Passed,85,28000,No,NoJob,4,33,32,No
296,Female,No,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Moderate,ChildrenLessThan5Yrs,FALSE,PersonalIssue,158,50,Passed,68,25000,No,NoJob,3,29,27,No
297,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,44,Passed,85,25000,No,NoJob,1,19,19,No
298,Female,No,Boarded,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,SamePlant,Good,Moderate,ChildrenLessThan5Yrs,FALSE,Other,158,57,Passed,70,25000,No,NoJob,2,24,22,No
299,Female,Yes,ComingFromHome,NoSpouse,PassedAL,Gihan,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,Other,LongTerm,Yes,B,TMMO,Other,SamePlant,Good,High,ChildrenGreaterThan5Yrs,FALSE,Other,160,64,Passed,68,25000,No,NoJob,5,55,38,No
300,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,NoChildren,FALSE,NoJob,154,58,Passed,70,25000,No,NoJob,4,34,32,No
301,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,59,Passed,70,25000,No,NoJob,1,18,19,No
302,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,High,ChildrenLessThan5Yrs,FALSE,NoJob,157,62,Passed,65,25000,No,NoJob,4,34,32,No
303,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,164,62,Passed,60,25000,No,NoJob,1,18,19,No
304,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,Other,NoJob,Good,Moderate,NoChildren,FALSE,NoJob,162,63,Passed,70,25000,No,NoJob,2,22,22,No
305,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,Unmarried,TRUE,JobIssue,160,61,Passed,90,30000,No,15000to30000,1,19,19,No
306,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,Support,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,FALSE,Other,168,52,Passed,85,25000,No,0to15000,2,20,22,No
307,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,166,52,Passed,90,25000,No,NoJob,1,18,19,No
